sample_id,label,label_name,case_type,source,target,rationale_count,text
1178262260063584257_twitter,2,normal,deep,twitter,Asian,0,<user> what a shameless audacity of indian delegates smiling over such a critical issue put forward by pakistan in unga simply signifies and proves the insensitivity of indian faggots it indeed is a slap over their disguise of so called india a peace country
25427359_gab,0,hatespeech,deep,gab,Jewish,1,some inbred schizoid kike told me that putin and erdogan started isis lol
19372895_gab,0,hatespeech,deep,gab,"African,Homosexual,Jewish",3,remember to support the merchant right is not civic nationalism awesome based nigger loving kike faggot and his crew of fellow scam artists are here to save western civilization
20632309_gab,0,hatespeech,deep,gab,African,5,i really dislike this nigger another example of no talent niggers gaining fame for its loud mouth back in the day we knew how to deal with a uppity nigger
1179100501297774596_twitter,2,normal,deep,twitter,,0,<user> <user> <user> an amazing fierce woman because she stayed in a fake marriage with a man who raped sexually assaulted and cheated on her
17408390_gab,0,hatespeech,deep,gab,"Jewish,Refugee",32,hias hebrew immigrant aid society bragged on its blog yesterday that in a baltimore md court it saved somali illegal alien yaasir from deportation back to somalia they are one of the <number> federal resettlement contractors paid w taxpayer placing refugees in your towns cities
26403158_gab,0,hatespeech,deep,gab,"African,Homosexual",4,fuck that nigger tyrone and that nigger dick sucker
1179065369094344705_twitter,2,normal,deep,twitter,,0,<user> <user> this police spokesman white object is a fucking lier many medias captured the live situation police is killing hk people illegally kill whoever they want but still saying this is legal they are doing the right thing evil 😈 hk police force hk police is terrorist standwith hk
1179092923700404230_twitter,2,normal,deep,twitter,,0,laima does not wear shoes or pants all she wears is a white cloth draped on her body like a dress does she even wear underwear then
1184634368976998406_twitter,2,normal,deep,twitter,,0,<user> my homie <user> hired the soup nazi to wish me a happy birthday on cameo can you invent a frame for videos pls
26516753_gab,0,hatespeech,deep,gab,Refugee,12,illegal immigrants are stronger together deport mom and her spawn by dawn
1178690096544960513_twitter,2,normal,deep,twitter,,0,<user> mr trump if anyone had questions as to weather or not you should be removed from the white house this tweet should put people at rest as to your fitness we <will> remove you and then the trials will start in earnest you can call it ex presidential harassment
1173341490682179585_twitter,2,normal,deep,twitter,,0,god i fucking hate allergies
1232998850647846915_twitter,2,normal,deep,twitter,"Caucasian,Jewish",0,<user> soo being a nazi is perfectly ok because i get money yikes lol
1178495903113650176_twitter,2,normal,deep,twitter,Asian,0,a chinaman he forced to sell we got it for pennies on the dollar b noir detour
1189522154985005057_twitter,2,normal,deep,twitter,Other,0,🖤 whoever lectures criminal procedure deserves happiness life and wealth my week just became great
1109450987440353280_twitter,2,normal,deep,twitter,,0,that laung gawacha song is so bad whoever plays it has a prolapse rectum
25617308_gab,0,hatespeech,deep,gab,"Arab,Homosexual,Islam,Other,Refugee",4,two liberal dykes morph their boy into a girl this is exactly the first group of people who will be exterminated under sharia law super funny has liberals love minorities and muslims
16397101_gab,0,hatespeech,deep,gab,Jewish,4,well cuz da jews suck dose babydicks
1205626713692131334_twitter,1,offensive,deep,twitter,Other,1,<user> well that retarded
1179034396575186951_twitter,2,normal,deep,twitter,,0,<user> <user> <user> <user> <user> <user> <user> <user> most excluded are hindu refugees not economic muslim migrants hindus are killed raped forcibly converted in pakistan and bangladesh entire nrc is a farce
18961075_gab,0,hatespeech,deep,gab,"Islam,Other",12,antisemites fall into either of two categories they are either stupid or muslim mohammad was a pedophile that married a prepubescent girl are you also a filthy muslim or are you just stupid
1179097174078042113_twitter,2,normal,deep,twitter,"Caucasian,Other",0,<user> <user> ain t us a racist white hillbilly i am good
1178873953332465664_twitter,1,offensive,deep,twitter,Homosexual,6,<user> that gay that what it is what is that faggotry
1180148074317938689_twitter,2,normal,deep,twitter,,0,joaquin phoenix executed the role of the joker perfectly that was an excellent movie def go see it
1178355699731943424_twitter,2,normal,deep,twitter,Homosexual,0,i thought best buy was super empty and the faggots open at <number> 🤦 🏿 ‍ ♂️ 🤦 🏿 ‍ ♂️
22707292_gab,1,offensive,deep,gab,"Arab,Islam",23,hello scum bag islam followers give me an arabic equivalent of the word guru no effing imam will not do they poison minds
18632081_gab,1,offensive,deep,gab,Jewish,6,just like cuckolding white european countries with a jewish religion is a ok
1144304210835660802_twitter,2,normal,deep,twitter,"Hispanic,Other",0,<user> the logic is insane to me there ’ literally white dominicans that are racist to black dominicans lmao
12651974_gab,0,hatespeech,deep,gab,"Arab,Islam",13,what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either
24395272_gab,0,hatespeech,deep,gab,"African,Arab,Jewish",10,you got that right they are no longer god chosen people as of <number> yrs ago if you are a sand nigger we do not want you
13016067_gab,2,normal,deep,gab,"Islam,Refugee",0,looks like the socialist theresa may is toast tory conservative elect a leader <number> with a backbone <number> a brexiterr not a europhile remoaner <number> a right wing conservative not a bloody socialist pc sjw multicult obsessed dhimmi moslem loving immigrant arse licking cultural marxist pushing traitor
7069129_gab,0,hatespeech,deep,gab,"African,Jewish",7,the sad sack south worshippin the football nigger on saturday and the jew jebus on sunday
4371004_gab,2,normal,deep,gab,,0,what you would consider a long time ago someone in my family married a moslem american whose family was rich this person was constantly mentioned to me as having the happiness and success all young american women should strive for lots o shopping big house w swimming pool etc <user>
1909103_gab,0,hatespeech,deep,gab,"Arab,Islam",13,canfam next make sure that everyone you know sees video footage of taharrush gamea from europe and let them know europe has imported the muslim gang rape game and that the euro press has totally blacked out this epidemic of horrifically violent gang rape and beatings of european women
12128335_gab,1,offensive,deep,gab,"Indian,Islam,Other",1,<number> pakis have been found dead in bradford it not terrorism related but thought to be due to a bunk bed collapsing police are blaming al ikea
1087114213099745281_twitter,0,hatespeech,deep,twitter,African,1,plot twist this niggers been alive the whole time 🤨
12295238_gab,2,normal,deep,gab,,0,moslem 1 st lady
1095720677431218177_twitter,2,normal,deep,twitter,Women,0,some bitch dropped her beer bottle last night at deol and glass went everywhere and somehow ended up in my shoe and my foot hurts
8780029_gab,2,normal,deep,gab,"African,Caucasian,Refugee",0,will all of the white people who want to move to a ghetto or third world country please raise your hand
1178637505710583810_twitter,1,offensive,deep,twitter,"Caucasian,Other",2,stoked for civil war part deux redneck revenge this week
22269387_gab,0,hatespeech,deep,gab,"Arab,Islam",27,it a shame theresa may never had children because now she will never get to see them grow up and become victims of a muslim grooming gang
8009733_gab,1,offensive,deep,gab,African,22,ann coulter has a point blacks in america should be thankful their ancestors were slaves as bad as they perceive they have it it better to live in a ghetto in america than anywhere in africa increased income lifespan equality of opportunity
1179097984748929025_twitter,2,normal,deep,twitter,,0,<user> they probably regularly say they all look the same they being whichever loosely defined group is being targeted mind i have just done the same
23161218_gab,0,hatespeech,deep,gab,African,1,tryin to be white had her nigger hair straightened if i were black these wanna bes would be the last i would trust
15937737_gab,0,hatespeech,deep,gab,"Arab,Islam,Men,Women",4,just to let the arabs in israel know today is day <number> of the <number> day rage back to goat fucking
1179097570326523904_twitter,2,normal,deep,twitter,,0,<user> is it on wattpad a bitch is broke to buy it lmao
1165536042658648065_twitter,1,offensive,deep,twitter,Men,1,this man looks so fucking fine with just his white t shirt amp gold chain on — brb gonna make him my man
17302276_gab,1,offensive,deep,gab,"Caucasian,Jewish",11,i tried warning those fools but you know white supremacy it only functions when jewish supremacy is supporting it i actually did an episode on this very topic of the colonial castizo futurism but can not upload it they are outnumbered <number> <number> to <number> also plus they do not have a homogeneous military
1179045128318701574_twitter,2,normal,deep,twitter,Homosexual,0,<user> i love dykes fr
24517138_gab,1,offensive,deep,gab,Other,11,i could imagine this retard walks like this in real life
1179084466066731012_twitter,2,normal,deep,twitter,,0,amazing how white south africans still manage to look corporate in their swimming costumes
1178630584320561152_twitter,2,normal,deep,twitter,,0,real dysphoria hours why are my arms so hairy
1261774879889731586_twitter,2,normal,deep,twitter,Islam,0,<user> <user> that ’ why i ’ m confused we shouldn ’ t be spreading islamically false information on social media
19067466_gab,2,normal,deep,gab,,0,chris was mad at the paki christian piccalioni i want to hear his shit however <user> ‍ is willing to have him on his show and i am willing to co host see what this guy has to say hit us up piccalioni
6655495_gab,2,normal,deep,gab,"Arab,Islam",0,i d explain this way muhammad arab followers after his death killed his only heir ali whose followers today r shiites east from iraq arabs went west at first and they want caliphs sunnis and they use terror against shiites us etc nether considers the other sect actually real muslims
1178759437550522370_twitter,2,normal,deep,twitter,"African,Caucasian",0,wait just figured out the white dude called him a nigger fuck him
24954806_gab,1,offensive,deep,gab,"Caucasian,Homosexual,Refugee",7,here comes silverstein to white knight for faggotry while taking potshots at <user> ‍ you are a pathetic faggot consider an hero
24198611_gab,2,normal,deep,gab,African,0,lol that resourceful <laugh> not condoning their violence obviously but it almost charmingly ghetto with its limited basic materials like what a super edgy teen would make
1179103606752055298_twitter,1,offensive,deep,twitter,Women,1,a literal slut for lana del rey
1080526960596602880_twitter,2,normal,deep,twitter,"African,Refugee",0,there are <number> million black kids in the us living in poverty and democrats still choose illegal immigrants first
1179087007676600325_twitter,2,normal,deep,twitter,,0,i am retarded i can never find my car in this lot
15751007_gab,2,normal,deep,gab,Women,0,i am a liberal and i have consensual sex with more women than the guys you see in porn
1187204382619619334_twitter,2,normal,deep,twitter,,0,<user> that actual harassment
19543142_gab,0,hatespeech,deep,gab,African,4,i am well armed with lost of ammo that nigger would be dead in about one second
1117669628015255552_twitter,1,offensive,deep,twitter,Women,5,you put a ring on that bitch amp she a hoe still 🤣
18465892_gab,0,hatespeech,deep,gab,"Homosexual,Other",1,there is no such thing as trans it is called queer or freak
19132473_gab,2,normal,deep,gab,African,0,winter olympics white mans code for a nigger section in public
16495378_gab,2,normal,deep,gab,,0,the harassment of britain first continues they deserve your support
14888314_gab,1,offensive,deep,gab,"African,Hispanic,Men,Other,Women",21,folks behold the kind of retard who would let america become mexico and let the constitution be shredded via mass voting by mestizo and african hordes just so long as he is not called a racist because you know mestizos just love free stuff i mean freedom
1165966377515012097_twitter,1,offensive,deep,twitter,Caucasian,1,tsurumarus a conservative evangelic baptist confederate redneck with sex toes on his right foot and missing half of his teeth
17032984_gab,0,hatespeech,deep,gab,"Arab,Islam,Jewish",20,let call terrorism what it is kike backed scheming to try and manipulate the goyim jihadi sand niggers are bad satanic jew scum are worse
19787360_gab,1,offensive,deep,gab,"African,Arab,Caucasian,Islam,Men,Other,Women",8,the left just got caught in their own trap they promote islam and inter racial marriage mudsharks etc now they want to eliminate freedom of association and not mix it up you cannot fix stupid
13126780_gab,2,normal,deep,gab,Women,0,lmao he wasted 2 5 0 k on travel for a cheap political stunt but funny you all bitch about 1 a to protect urself from the military govt and police you all fradidently say u love hypocrites
3059842_gab,1,offensive,deep,gab,Islam,22,<user> i do not see how merkel can win germany would have to be mentally retarded or full on islamic to vote for her
1145916476131614721_twitter,2,normal,deep,twitter,,0,neva give these niggas lead way
1178748205690970118_twitter,2,normal,deep,twitter,,0,highest drops friday 🤩 🤩 🤩 you all niggers should see my face rn
1179037768195817472_twitter,2,normal,deep,twitter,Homosexual,0,hold on how the fuck are you gonna call mark homophobic when you yelled fucking faggot while you were driving past me and my friends your a damn hypocrite grow the fuck up
27770061_gab,0,hatespeech,deep,gab,African,1,<user> yo ur fav niglet prom date
17889104_gab,0,hatespeech,deep,gab,Arab,2,good question if i have not eaten already i would of been triggered into getting one right now however that can wait tomorrow mm the one pizza you know a sand nigger will not make touch
2378579_gab,1,offensive,deep,gab,"Homosexual,Islam",38,<user> you would think after all the incidents of islamic violence perpetrated against homosexuals that the gay community would cease attempting to build some odd coalition with muslims yet there they are attempting to do so to this day i for one am baffled
25778815_gab,0,hatespeech,deep,gab,African,21,they were niglet babies i am not saying it is not awful but it pretty much normal behavior for ghetto monkeys
1165357230327250945_twitter,1,offensive,deep,twitter,Women,1,we can not break for these hoes g code
2008149_gab,1,offensive,deep,gab,Homosexual,11,anyone who thinks being gay is worth celebrating is borderline insane speakfreely
1179051284630048768_twitter,2,normal,deep,twitter,Caucasian,0,acts <number> <number> what the devil created white people have done all over the world to this very hour the white devil armies of trump marching all over this world doing the bidding of satan in america and devil israel of satan murdering killing slaughtering the dark skinned
15257125_gab,0,hatespeech,deep,gab,"African,Minority,Nonreligious,Other,Women",2,dumb nigger whore thinks the country can function off of inner city jobs and people does she even realize who feeds her
20441809_gab,0,hatespeech,deep,gab,"Homosexual,Jewish,Women",1,jews are just nuts blowing the dyke in new orleans bombing countless airliners shooting arab kids sinking ships firebombing dresden bombs in iraq and the list goes on and on
1178883137335693312_twitter,2,normal,deep,twitter,Caucasian,0,<user> that angry white man looks exactly like every nazi on film ever lmao
14170548_gab,1,offensive,deep,gab,Islam,1,communist china is a regime nth korea is a regime mugabes zimbabwe is a regime the anc is a regime the eu un are commie regimes every muzrat country is a regime the trump presidency is a legally elected govt
27799380_gab,0,hatespeech,deep,gab,African,2,mr markle and cunt harry both nigger lovers
1208594187949690881_twitter,1,offensive,deep,twitter,,1,<user> <user> y ’ all both retarded cause no one ’ arguing anything
1260367393097953280_twitter,2,normal,deep,twitter,African,0,my friends amp my boo not tryna drunk with me this is ghetto
10912897_gab,0,hatespeech,deep,gab,"Arab,Islam,Minority,Other,Women",1,why is there a muzzie on project runway of course she forces her model into a hijab
5123770_gab,0,hatespeech,deep,gab,"African,Arab,Refugee",30,i think they need to establish communal sheep goat parks instead might cut down on some of the sexual assaults being perpetrated on the women of sweden by these immigrants
1178969000153214976_twitter,2,normal,deep,twitter,,0,i fucking hate you <number>
1179022759780917249_twitter,2,normal,deep,twitter,,0,hey <user> <user> you fascist pigs since idk y i am banned def a white person or trumper but i repeat myself when tf is the ban over u nazi scum racist sexist white supremacist terrorism supporting garbage wastes of flesh you re all trash not raised right be ashamed
7441785_gab,2,normal,deep,gab,Other,0,they love to attribute motivations and feelings for which there is no evidence steve sailor peter brimelow and jared taylor are genocidal even they they claim to oppose violence i have looked into their hearts and seen the hate likewise antifa violence is based on projection
17363936_gab,1,offensive,deep,gab,"African,Caucasian,Christian,Men,Other,Women",2,<number> ghetto white people who did drugs and got abortions and could not speak without using the f word they were called white negroes the black culture has become part of america white people endorsing this immorality and violence is why we are in decline
17337071_gab,0,hatespeech,deep,gab,Islam,2,i am atheist i will fight against islam to the death i have seen how vile muzzies are
1179011759979614208_twitter,2,normal,deep,twitter,,0,<user> hey those who do not want to understand never will it always starts with the person in question there no need to kill yourself over someone who does not want to change when many people do and will ^^ it never your fault when someone stuck in their position
1179103190740094977_twitter,2,normal,deep,twitter,,0,also the conflation of immigrants with minorities is misguided it something the right does that the left should avoid
1192577739036848128_twitter,2,normal,deep,twitter,Refugee,0,<user> she had no green card was an illegal alien
1179104377409327104_twitter,2,normal,deep,twitter,"African,Men,Women",0,<user> software engineering all my classes are <percent> white boys and the <number> or <number> ppl who are not are only ever nb girls or coony bm 🙄
17433914_gab,0,hatespeech,deep,gab,"African,Women",4,lol this dumb bitch is apologizing cuz she said nigga while doing some nigger rap song <number> years ago 😹 hey bitch how about just not doing rap since that scary word is in pretty much all nigger rap
20526500_gab,0,hatespeech,deep,gab,"Arab,Islam",1,the muzzies got another tentacle out there
17311468_gab,0,hatespeech,deep,gab,"Islam,Other,Refugee",17,the retarded mongrols on the left have no shame they are so twisted and spiteful they disrupt the candlelight gathering to remember a <number> year old killed by a muslime refugee the sooner we can legally gas these people the better for western society
25531946_gab,0,hatespeech,deep,gab,Jewish,1,included your original post typical kike moves the goal post
13031638_gab,0,hatespeech,deep,gab,Homosexual,5,all queers are murderers as well as vile filthy sinners
1179073524364910592_twitter,2,normal,deep,twitter,"Caucasian,Women",0,<user> it just the way u called her a dry ass white bitch it so funnyajjsjdhdh
1201250360133902337_twitter,2,normal,deep,twitter,Refugee,0,<user> britain ’ first you have ignored our elderly our veterans and our homeless you have put refugees first before brits
15320864_gab,0,hatespeech,deep,gab,"African,Jewish",10,except you are wrong there as usual whoisshooting com among other sites evince the niggery in your kike narrative btw the majority of pedos are black too fbi gov ucrs crimes against children families
1215119887456251904_twitter,1,offensive,deep,twitter,African,1,so this negro told u i lost my voice
5389528_gab,2,normal,deep,gab,"Caucasian,Men,Women",0,cultural marxism maintains that all human behaviour is a result of culture not heredity race and thus malleable cultural marxism seeks the takeover of education mainstream christianity the law finance and the annihilation of western civilization in general and white people in particular
16610584_gab,1,offensive,deep,gab,"Caucasian,Jewish",9,paul nehlen is totally ourguy was on fash the nation posts helicopter memes on twitter trolls jews on twitter with the my fellow whites meme true american nationalist to the core unlike trump proposes anti censorship legislation nehlen2018 electnehlen
1179010193495150592_twitter,2,normal,deep,twitter,,0,<user> must engage with kurdish people they r facing genocide in the hand of jihadi <user> we must support cause of a separate kurdistan by dividing turkey eastern region <user> <user> <user> <user> <user>
19799185_gab,1,offensive,deep,gab,Homosexual,1,queers in olymipcs are the same in the military a huge fucking mistake
13651336_gab,1,offensive,deep,gab,"Arab,Islam,Men,Refugee,Women",26,wonderful idea syrian refugees living here in the uk will love to be trained in bomb disposal to enable them to re establish their life in their homeland
23170995_gab,0,hatespeech,deep,gab,"Christian,Hispanic,Other",1,rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction
9053284_gab,0,hatespeech,deep,gab,"African,Arab",3,they average more in cali with the feeding program but the skunks and coons eat well too
1111022706370072576_twitter,1,offensive,deep,twitter,Other,4,<user> defining people movement and existence as crisis is some of the most overtly nazi ass shit that been rolled out yet
1179017320016076800_twitter,1,offensive,deep,twitter,"Caucasian,Nonreligious,Other",1,dying at all the hillbilly canton moms on social media like if you yell at my son i will kill you with these redneck bare hands chill out sabrina all you are gonna do is give me the stink eye at the drive through cig place and keep it moving lmao
19977150_gab,1,offensive,deep,gab,African,7,why is the dole queue in the ghetto so black
21713275_gab,0,hatespeech,deep,gab,"Hispanic,Homosexual,Men,Refugee,Women",6,omg this is how to deal with the faggots and immigrants from lesbia so fucking funny crowder is a genius
1124070783481937920_twitter,2,normal,deep,twitter,,0,i am convinced that lost socks sneak out of the house to go and search for that one shoe sitting in the middle of the road
1178697435033587712_twitter,2,normal,deep,twitter,"African,Caucasian",0,<user> <user> that how blacks behaves always protecting whites even after they gave our african people hiv n aids raped our grannies eish blacks
1095096665667600384_twitter,2,normal,deep,twitter,"Christian,Islam",0,<user> right here bro found jesus whos not just a prophet howz life u an ex muslim too from yeg
1084632363727048704_twitter,2,normal,deep,twitter,,0,tossing subs oki dok nigga
1125480647810867205_twitter,2,normal,deep,twitter,,0,enjoy who you are do not hate yourself for what you arent
1178760780587716608_twitter,2,normal,deep,twitter,,0,meekmill labels locking these youngbulls down the crazy part is most these artist rather get raped by somebody from a different race to feel like nobody ain t do nothing for them labels locking these youngbulls down the crazy part is most these artist rather g …
1178525090847379458_twitter,2,normal,deep,twitter,,0,family has always been important to me and i will hunt down people who hurt them you are freakin retard she may be my niece but she your freakin daughter some mother you are leaving her for some other kids that are not your own
1178539535048814592_twitter,2,normal,deep,twitter,,0,fucking children get raped is it their fault how the fuck is it ever the victims fault
17865084_gab,1,offensive,deep,gab,"African,Jewish",11,to busy swindling whites and renting out ghetto apartments to shitskins eh schlomo
14783700_gab,2,normal,deep,gab,Jewish,0,i am probably just over thinking it since the white rabbit graph rothchild copter thing marines at langley tick tock monday
27083067_gab,0,hatespeech,deep,gab,"Homosexual,Other",11,were you saying something i took out the trash you are next tomorrow nazi faggot nite lol
17570445_gab,0,hatespeech,deep,gab,"Asian,Islam",1,u and ur fishhead are trash u married a zipperhead
14875960_gab,1,offensive,deep,gab,,7,all your hashtags point to the fact that you have zero clue what you are talking about and please do find me a more reputable source or omg teh whole world is into it man fuck outta here with your retarded ass
19590344_gab,0,hatespeech,deep,gab,"African,Arab,Islam",2,disgusting like we need more sand niggers here
11087389_gab,0,hatespeech,deep,gab,"African,Arab,Homosexual,Jewish",6,i am a veteran i got tired of dealing with faggots and killing sandniggers for jews fuck that
9055125_gab,1,offensive,deep,gab,"Other,Women",2,i hope this bitch has gone to jail for this picture speakfreely gab feminismiscancer
1178765634265636864_twitter,2,normal,deep,twitter,Disability,0,do u have to be retarded to be a lino
1087086480332210176_twitter,2,normal,deep,twitter,,0,<user> <user> seoham and inseong of knk that clip was from their performance yesterday on the music show sbs inkigayo 👌
1275656302262394881_twitter,1,offensive,deep,twitter,Asian,4,<user> ew imagine standing a group of asians that fuck eachother
1178978472225595392_twitter,1,offensive,deep,twitter,"Caucasian,Women",4,it always broke dirty looking itches that talk the most shit 💁 🏽 ‍ ♀️ go sit ur dirty po white trash lookin ass down tf
27013885_gab,1,offensive,deep,gab,"Christian,Other,Refugee",25,if your church helps 3 rd world refugees but does not help white american opioid addicts your church is actually a suicidal leftist satanic cult
1178645475752370176_twitter,0,hatespeech,deep,twitter,Jewish,4,i raped the jews because it diddled sarah palin
8173697_gab,1,offensive,deep,gab,"African,Asian,Caucasian,Hispanic",10,where your link mr rhetoric did you you make it up it funny how they stopped breaking down by race after <number> it a great thing that rapes are down but its incontrovertible that blacks are significantly more violent compared to whites and asians
16732270_gab,0,hatespeech,deep,gab,African,3,send this spear chucking jigaboo to somalia
25780671_gab,2,normal,deep,gab,"African,Caucasian",0,do you accept barack obama as your white brother meghan markle as your white sister and yet your step brother or step sister is treated as your bio family right we accept them as part of black fam but most caucasians do not accept half whites as white fam sad
1123690490136756225_twitter,2,normal,deep,twitter,Refugee,0,<user> helping immigrants from all over the world drain the prosperity from developed nations via un immigration pact
14330509_gab,1,offensive,deep,gab,Other,24,the objective to compare the nra to terrorist organizations is for these reasons to justify the use of violence against nra members and to dehumanize gun owners and their families guncontrol nra
1178013753536724992_twitter,1,offensive,deep,twitter,Homosexual,2,shes more than a dyke $wldbsjxhskxbwnz
1082448674830118917_twitter,1,offensive,deep,twitter,Women,1,hoe you are a weirdo
10888163_gab,0,hatespeech,deep,gab,"African,Islam",4,i have been on <number> since a kenyan moslem became president
1168271529223819265_twitter,1,offensive,deep,twitter,Christian,17,<user> funny because <number> seems to be the preferred age of sexual partners for you faux christian nazis
14924314_gab,1,offensive,deep,gab,"Men,Women",12,for men that pathetic behavior b c he allows himself to be led for women wanting to be led is healthy for men it the unwillingness or inability to assume the responsibility of leadership two different standards also it just does not work women do not find it attractive nor should they
1182315881948422145_twitter,2,normal,deep,twitter,"Men,Other,Women",0,young women of this generation be more worried about how much money he has rather than if he has the holy spirit or not
1122535416538644480_twitter,2,normal,deep,twitter,"Other,Women",0,<user> bitch is stupid
1118271659058847744_twitter,2,normal,deep,twitter,African,0,<user> <user> like nigga care
1179071257804988416_twitter,2,normal,deep,twitter,Caucasian,0,<user> i just do not think you know how the justice system works is this a white person thing
1162943517464965120_twitter,2,normal,deep,twitter,,0,nate diaz nigga stockton <number> motherfucker wut wut
22280608_gab,1,offensive,deep,gab,Other,9,they are retarded mouth breathing little children saying this is our club and you can not come in
13000374_gab,1,offensive,deep,gab,Other,7,communist revisionists on the city council in austin tx voted to eliminate columbus day use indigenous people instead said columbus was violence hatred they just dissed all italians un freaking believable
18409054_gab,0,hatespeech,deep,gab,"Arab,Islam,Jewish",20,there are approx <number> <number> jews there are over <number> <number> muslims and those animals are breeding like rabbits i prioritize targets the jew population is stable and low the sandnigger population is growing like plague which one do you think we should go for first
1179071582016282630_twitter,2,normal,deep,twitter,,0,<user> the one in the orange shirt is a syrian refugee
1179001808116736000_twitter,2,normal,deep,twitter,,0,dank memes are desert sand asters are lightpink steve harwell from smash mouth is a lesbian and so on
22258735_gab,0,hatespeech,deep,gab,"Caucasian,Indigenous,Other",6,<number> of americans are mentally retarded
1179007069015248896_twitter,2,normal,deep,twitter,Women,0,and added things to eill of grandpatents william scott and princess lucy johns taku river tlingit thunderbird from atlin and was in wiliams lake they took witness protection plan and dave added if i were a sex offender the property eould go to kids he raped and inplanted my aunt
1187881133570220035_twitter,2,normal,deep,twitter,Women,0,who up hoes
1179098974281588736_twitter,2,normal,deep,twitter,,0,<user> <user> <user> but a union wouldnt help either it again screws over personal rights to the employees and even the employers too the whole slave wage argument is a fucking joke
22841530_gab,0,hatespeech,deep,gab,Jewish,5,memes calling non jews the vicitms of the jew didnt exist a year ago people are beginning to understand the many ways that we are the victims of the jews jew are not the victims we are victims of jewish infiltration
1105577547675459586_twitter,2,normal,deep,twitter,,0,i listen to the same songs everyday i love ariana and blackpink 😩 can they and selena release new albums please
1088064713664151554_twitter,2,normal,deep,twitter,,0,davos is merely whitewashed economic gangsterism
6453946_gab,0,hatespeech,deep,gab,"African,Arab,Homosexual,Islam,Jewish,Other",40,the reason jews shitlibs faggots hate attack christians while defending muslims is because they know the christians will never fight back while the sand niggers will throw their skinny jeaned asses off roofs cut their fucking knit capped heads off
1179018126333239298_twitter,2,normal,deep,twitter,,0,im also never reusing a closure again cause that what i did this time and this hoe wont stay attached to my head for shit im using bold hold and got <number> be
1164041423336988674_twitter,2,normal,deep,twitter,"African,Other",0,the talking stage so ghetto i ’ m tired of going through that shit with people
11352243_gab,0,hatespeech,deep,gab,African,1,if they are going to have a nigger mayor then at least elect a high voodoo priest
1196256638547701761_twitter,1,offensive,deep,twitter,"Other,Refugee",3,<user> <user> yeah but you have not called immigrants subhuman degenerates who have no rights
1474697_gab,0,hatespeech,deep,gab,"Homosexual,Islam,Minority",3,<user> the gay muzzie mulatto abolished the borders on <date> with a stroke of his pen that is why neither ice nor law enforcement agencies can uphold the law they have been superseded by executive order
13146122_gab,1,offensive,deep,gab,"Islam,Other",6,yea me too i thought white genocide but there white ppl everywhere when you know what really going on it makes sense there will be nothing but muslims worldwide slave race while the white elites do their thing dumbing down society is part of it look how dumb the leftists are
1179076526882643968_twitter,2,normal,deep,twitter,,0,<user> i paid for them when i got raped in florida
20124669_gab,0,hatespeech,deep,gab,"Arab,Islam",21,should vigilantes hunt down and execute sand nigger rapist and general rapist and pedos since the governments do not do enough
26405922_gab,0,hatespeech,deep,gab,Islam,5,i will bring some goats they are really good at keeping grass down i saved them from moslem rape they owe me
1178833423965683712_twitter,2,normal,deep,twitter,Homosexual,0,<user> self isolated homosexual sun pub type moon the war queer rising
